start	end	tumor	normal
2820001	2830000	51	137
2830001	2840000	53	155
2840001	2850000	69	166
2850001	2860000	65	172
2860001	2870000	74	165
2870001	2880000	68	181
2880001	2890000	85	173
2890001	2900000	67	189
2900001	2910000	76	183
2910001	2920000	72	154
2920001	2930000	78	162
2930001	2940000	61	125
2940001	2950000	62	124
2950001	2960000	84	159
2960001	2970000	49	161
2970001	2980000	69	173
2980001	2990000	77	175
2990001	3000000	77	156
3000001	3010000	78	166
3010001	3020000	49	152
3020001	3030000	70	162
3030001	3040000	63	159
3040001	3050000	58	144
3050001	3060000	75	150
3060001	3070000	69	151
3070001	3080000	61	149
3080001	3090000	80	182
3090001	3100000	64	158
3100001	3110000	64	173
3110001	3120000	68	197
3120001	3130000	88	176
3130001	3140000	59	170
3140001	3150000	69	149
3150001	3160000	59	166
3160001	3170000	76	201
3170001	3180000	75	167
3180001	3190000	68	173
3190001	3200000	47	160
3200001	3210000	67	174
3210001	3220000	59	188
3220001	3230000	70	165
3230001	3240000	65	136
3240001	3250000	48	134
3250001	3260000	56	131
3260001	3270000	51	164
3270001	3280000	60	167
3280001	3290000	53	127
3290001	3300000	52	142
3300001	3310000	71	167
3310001	3320000	64	144
3320001	3330000	70	160
3330001	3340000	65	167
3340001	3350000	63	169
3350001	3360000	69	206
3360001	3370000	43	131
3370001	3380000	61	170
3380001	3390000	75	191
3390001	3400000	65	158
3400001	3410000	69	149
3410001	3420000	41	149
3420001	3430000	44	130
3430001	3440000	46	153
3440001	3450000	35	92
3450001	3460000	56	167
3460001	3470000	41	114
3470001	3480000	60	106
3480001	3490000	38	119
3490001	3500000	40	135
3500001	3510000	56	132
3510001	3520000	64	128
3520001	3530000	51	153
3530001	3540000	57	146
3540001	3550000	69	116
3550001	3560000	59	161
3560001	3570000	72	127
3570001	3580000	94	222
3580001	3590000	135	318
3590001	3600000	148	285
3600001	3610000	127	267
3610001	3620000	101	179
3620001	3630000	132	316
3630001	3640000	76	199
3640001	3650000	56	130
3650001	3660000	61	144
3660001	3670000	56	168
3670001	3680000	65	153
3680001	3690000	59	117
3690001	3700000	66	181
3700001	3710000	63	135
3710001	3720000	60	136
3720001	3730000	47	131
3730001	3740000	66	141
3740001	3750000	66	128
3750001	3760000	56	166
3760001	3770000	48	106
3770001	3780000	49	141
3780001	3790000	63	143
3790001	3800000	59	148
3800001	3810000	62	168
3810001	3820000	78	154
3820001	3830000	57	144
3830001	3840000	48	142
3840001	3850000	70	171
3850001	3860000	54	142
3860001	3870000	54	140
3870001	3880000	49	172
3880001	3890000	64	178
3890001	3900000	70	160
3900001	3910000	52	155
3910001	3920000	81	146
3920001	3930000	68	138
3930001	3940000	73	144
3940001	3950000	76	140
3950001	3960000	50	152
3960001	3970000	60	165
3970001	3980000	78	189
3980001	3990000	55	193
3990001	4000000	76	135
4000001	4010000	67	156
4010001	4020000	75	179
4020001	4030000	57	136
4030001	4040000	83	173
4040001	4050000	85	206
4050001	4060000	80	200
4060001	4070000	107	221
4070001	4080000	93	233
4080001	4090000	98	186
4090001	4100000	84	182
4100001	4110000	83	164
4110001	4120000	60	166
4120001	4130000	53	154
4130001	4140000	48	103
4140001	4150000	38	91
4150001	4160000	49	140
4160001	4170000	81	174
4170001	4180000	71	168
4180001	4190000	85	192
4190001	4200000	90	220
4200001	4210000	103	184
4210001	4220000	95	236
4220001	4230000	86	216
4230001	4240000	109	264
4240001	4250000	78	182
4250001	4260000	58	173
4260001	4270000	71	165
4270001	4280000	75	153
4280001	4290000	67	162
4290001	4300000	77	160
4300001	4310000	78	182
4310001	4320000	77	180
4320001	4330000	68	169
4330001	4340000	84	188
4340001	4350000	54	164
4350001	4360000	67	164
4360001	4370000	71	183
4370001	4380000	70	154
4380001	4390000	49	121
4390001	4400000	64	188
4400001	4410000	64	167
4410001	4420000	63	145
4420001	4430000	63	193
4430001	4440000	66	206
4440001	4450000	79	178
4450001	4460000	88	159
4460001	4470000	88	171
4470001	4480000	69	188
4480001	4490000	74	175
4490001	4500000	74	192
4500001	4510000	63	189
4510001	4520000	66	212
4520001	4530000	69	178
4530001	4540000	50	160
4540001	4550000	63	189
4550001	4560000	81	204
4560001	4570000	74	143
4570001	4580000	68	173
4580001	4590000	70	196
4590001	4600000	80	184
4600001	4610000	71	176
4610001	4620000	63	171
4620001	4630000	59	196
4630001	4640000	57	165
4640001	4650000	58	138
4650001	4660000	79	179
4660001	4670000	70	162
4670001	4680000	72	163
4680001	4690000	69	136
4690001	4700000	55	163
4700001	4710000	91	186
4710001	4720000	65	207
4720001	4730000	69	195
4730001	4740000	61	141
4740001	4750000	87	193
4750001	4760000	66	158
4760001	4770000	66	146
4770001	4780000	67	160
4780001	4790000	73	186
4790001	4800000	67	196
4800001	4810000	69	160
4810001	4820000	86	187
4820001	4830000	60	176
4830001	4840000	48	183
4840001	4850000	81	201
4850001	4860000	53	144
4860001	4870000	44	140
4870001	4880000	61	128
4880001	4890000	71	164
4890001	4900000	69	172
4900001	4910000	67	160
4910001	4920000	81	212
4920001	4930000	87	170
4930001	4940000	76	175
4940001	4950000	71	182
4950001	4960000	82	198
4960001	4970000	85	216
4970001	4980000	75	189
4980001	4990000	68	161
4990001	5000000	80	169
5000001	5010000	86	215
5010001	5020000	68	176
5020001	5030000	60	171
5030001	5040000	65	181
5040001	5050000	76	179
5050001	5060000	59	180
5060001	5070000	62	174
5070001	5080000	65	166
5080001	5090000	69	205
5090001	5100000	63	158
5100001	5110000	82	180
5110001	5120000	86	162
5120001	5130000	65	187
5130001	5140000	76	173
5140001	5150000	80	180
5150001	5160000	103	178
5160001	5170000	84	194
5170001	5180000	105	192
5180001	5190000	74	185
5190001	5200000	61	162
5200001	5210000	82	194
5210001	5220000	87	168
5220001	5230000	66	185
5230001	5240000	90	164
5240001	5250000	82	211
5250001	5260000	69	188
5260001	5270000	75	141
5270001	5280000	74	179
5280001	5290000	79	195
5290001	5300000	84	179
5300001	5310000	82	192
5310001	5320000	82	184
5320001	5330000	74	187
5330001	5340000	70	223
5340001	5350000	61	210
5350001	5360000	93	215
5360001	5370000	84	182
5370001	5380000	70	170
5380001	5390000	65	156
5390001	5400000	77	172
5400001	5410000	94	185
5410001	5420000	79	184
5420001	5430000	62	190
5430001	5440000	78	184
5440001	5450000	95	186
5450001	5460000	53	152
5460001	5470000	60	134
5470001	5480000	72	172
5480001	5490000	80	194
5490001	5500000	72	201
5500001	5510000	65	161
5510001	5520000	96	185
5520001	5530000	79	180
5530001	5540000	79	161
5540001	5550000	62	179
5550001	5560000	64	169
5560001	5570000	62	159
5570001	5580000	61	169
5580001	5590000	78	176
5590001	5600000	74	193
5600001	5610000	73	173
5610001	5620000	56	191
5620001	5630000	75	170
5630001	5640000	74	173
5640001	5650000	73	173
5650001	5660000	61	148
5660001	5670000	79	190
5670001	5680000	60	173
5680001	5690000	66	179
5690001	5700000	57	156
5700001	5710000	68	173
5710001	5720000	57	177
5720001	5730000	81	178
5730001	5740000	66	170
5740001	5750000	72	164
5750001	5760000	62	158
5760001	5770000	64	142
5770001	5780000	65	184
5780001	5790000	65	168
5790001	5800000	62	174
5800001	5810000	57	135
5810001	5820000	64	180
5820001	5830000	68	174
5830001	5840000	59	160
5840001	5850000	68	151
5850001	5860000	60	166
5860001	5870000	64	159
5870001	5880000	79	168
5880001	5890000	69	175
5890001	5900000	59	151
5900001	5910000	56	189
5910001	5920000	82	153
5920001	5930000	56	166
5930001	5940000	64	166
5940001	5950000	67	159
5950001	5960000	59	164
5960001	5970000	51	168
5970001	5980000	63	157
5980001	5990000	61	158
5990001	6000000	74	149
6000001	6010000	80	179
6010001	6020000	61	160
6020001	6030000	60	158
6030001	6040000	80	200
6040001	6050000	71	149
6050001	6060000	78	189
6060001	6070000	70	174
6070001	6080000	60	204
6080001	6090000	48	158
6090001	6100000	58	187
6100001	6110000	72	143
6110001	6120000	59	152
6120001	6130000	68	136
6130001	6140000	57	177
6140001	6150000	74	145
6150001	6160000	68	174
6160001	6170000	59	203
6170001	6180000	45	134
6180001	6190000	75	171
6190001	6200000	52	163
6200001	6210000	66	137
6210001	6220000	68	201
6220001	6230000	52	175
6230001	6240000	46	172
6240001	6250000	61	168
6250001	6260000	65	157
6260001	6270000	61	155
6270001	6280000	58	155
6280001	6290000	52	157
6290001	6300000	60	160
6300001	6310000	57	142
6310001	6320000	57	153
6320001	6330000	70	145
6330001	6340000	53	134
6340001	6350000	53	153
6350001	6360000	60	138
6360001	6370000	70	139
6370001	6380000	67	151
6380001	6390000	52	173
6390001	6400000	57	144
6400001	6410000	73	165
6410001	6420000	42	168
6420001	6430000	58	155
6430001	6440000	63	150
6440001	6450000	59	169
6450001	6460000	56	126
6460001	6470000	69	178
6470001	6480000	46	133
6480001	6490000	81	191
6490001	6500000	72	196
6500001	6510000	88	173
6510001	6520000	64	176
6520001	6530000	65	159
6530001	6540000	49	142
6540001	6550000	65	173
6550001	6560000	68	166
6560001	6570000	64	147
6570001	6580000	69	161
6580001	6590000	85	148
6590001	6600000	61	142
6600001	6610000	75	168
6610001	6620000	66	171
6620001	6630000	70	135
6630001	6640000	81	146
6640001	6650000	71	161
6650001	6660000	71	144
6660001	6670000	75	150
6670001	6680000	63	150
6680001	6690000	64	129
6690001	6700000	58	148
6700001	6710000	69	188
6710001	6720000	63	189
6720001	6730000	63	175
6730001	6740000	59	141
6740001	6750000	72	180
6750001	6760000	60	142
6760001	6770000	77	160
6770001	6780000	62	152
6780001	6790000	65	158
6790001	6800000	70	156
6800001	6810000	77	183
6810001	6820000	75	174
6820001	6830000	73	173
6830001	6840000	88	185
6840001	6850000	79	223
6850001	6860000	73	181
6860001	6870000	68	184
6870001	6880000	67	169
6880001	6890000	69	151
6890001	6900000	67	160
6900001	6910000	75	171
6910001	6920000	45	164
6920001	6930000	63	165
6930001	6940000	59	180
6940001	6950000	62	135
6950001	6960000	62	154
6960001	6970000	70	163
6970001	6980000	72	139
6980001	6990000	54	183
6990001	7000000	59	144
7000001	7010000	74	155
7010001	7020000	56	169
7020001	7030000	65	171
7030001	7040000	59	164
7040001	7050000	53	144
7050001	7060000	34	127
7060001	7070000	61	165
7070001	7080000	62	172
7080001	7090000	66	196
7090001	7100000	55	159
7100001	7110000	62	162
7110001	7120000	61	160
7120001	7130000	65	155
7130001	7140000	70	147
7140001	7150000	63	146
7150001	7160000	67	153
7160001	7170000	61	153
7170001	7180000	72	183
7180001	7190000	69	166
7190001	7200000	51	158
7200001	7210000	55	165
7210001	7220000	60	154
7220001	7230000	63	166
7230001	7240000	64	192
7240001	7250000	63	137
7250001	7260000	76	187
7260001	7270000	74	156
7270001	7280000	61	149
7280001	7290000	61	165
7290001	7300000	52	114
7300001	7310000	70	140
7310001	7320000	55	193
7320001	7330000	69	128
7330001	7340000	52	126
7340001	7350000	57	159
7350001	7360000	67	158
7360001	7370000	67	156
7370001	7380000	61	153
7380001	7390000	68	176
7390001	7400000	53	138
7400001	7410000	77	206
7410001	7420000	68	177
7420001	7430000	63	114
7430001	7440000	50	140
7440001	7450000	53	167
7450001	7460000	52	159
7460001	7470000	68	165
7470001	7480000	61	155
7480001	7490000	47	152
7490001	7500000	47	159
7500001	7510000	46	139
7510001	7520000	65	136
7520001	7530000	67	158
7530001	7540000	48	170
7540001	7550000	68	141
7550001	7560000	58	147
7560001	7570000	68	164
7570001	7580000	64	154
7580001	7590000	55	206
7590001	7600000	91	156
7600001	7610000	45	166
7610001	7620000	66	155
7620001	7630000	67	140
7630001	7640000	54	155
7640001	7650000	50	180
7650001	7660000	42	149
7660001	7670000	58	135
7670001	7680000	69	171
7680001	7690000	73	158
7690001	7700000	67	134
7700001	7710000	44	142
7710001	7720000	53	166
7720001	7730000	73	152
7730001	7740000	66	152
7740001	7750000	51	146
7750001	7760000	48	158
7760001	7770000	53	156
7770001	7780000	67	178
7780001	7790000	54	139
7790001	7800000	73	154
7800001	7810000	82	150
7810001	7820000	51	142
7820001	7830000	62	141
7830001	7840000	59	192
7840001	7850000	64	147
7850001	7860000	54	169
7860001	7870000	54	183
7870001	7880000	84	185
7880001	7890000	67	184
7890001	7900000	77	164
7900001	7910000	67	163
7910001	7920000	72	158
7920001	7930000	59	192
7930001	7940000	60	176
7940001	7950000	51	142
7950001	7960000	83	160
7960001	7970000	61	150
7970001	7980000	73	152
7980001	7990000	59	143
7990001	8000000	62	156
8000001	8010000	66	166
8010001	8020000	62	169
8020001	8030000	70	154
8030001	8040000	57	153
8040001	8050000	62	144
8050001	8060000	67	155
8060001	8070000	62	154
8070001	8080000	51	148
8080001	8090000	47	140
8090001	8100000	70	154
8100001	8110000	62	150
8110001	8120000	61	138
8120001	8130000	50	161
8130001	8140000	70	138
8140001	8150000	74	127
8150001	8160000	60	142
8160001	8170000	39	164
8170001	8180000	54	165
8180001	8190000	54	149
8190001	8200000	65	155
8200001	8210000	57	161
8210001	8220000	43	159
8220001	8230000	50	143
8230001	8240000	75	136
8240001	8250000	56	118
8250001	8260000	57	159
8260001	8270000	66	141
8270001	8280000	62	163
8280001	8290000	59	137
8290001	8300000	56	161
8300001	8310000	63	157
8310001	8320000	50	157
8320001	8330000	69	155
8330001	8340000	46	153
8340001	8350000	60	141
8350001	8360000	71	171
8360001	8370000	87	184
8370001	8380000	42	128
8380001	8390000	69	156
8390001	8400000	57	133
8400001	8410000	67	152
8410001	8420000	63	162
8420001	8430000	74	154
8430001	8440000	72	181
8440001	8450000	77	154
8450001	8460000	72	161
8460001	8470000	60	172
8470001	8480000	53	127
8480001	8490000	83	182
8490001	8500000	66	164
8500001	8510000	68	166
8510001	8520000	56	147
8520001	8530000	72	151
8530001	8540000	86	197
8540001	8550000	64	164
8550001	8560000	80	151
8560001	8570000	67	161
8570001	8580000	69	148
8580001	8590000	55	157
8590001	8600000	47	129
8600001	8610000	56	158
8610001	8620000	62	120
8620001	8630000	90	233
8630001	8640000	126	249
8640001	8650000	57	157
8650001	8660000	64	169
8660001	8670000	65	179
8670001	8680000	52	154
8680001	8690000	83	171
8690001	8700000	54	160
8700001	8710000	58	161
8710001	8720000	80	166
8720001	8730000	66	150
8730001	8740000	55	143
8740001	8750000	86	128
8750001	8760000	62	162
8760001	8770000	63	137
8770001	8780000	50	127
8780001	8790000	58	144
8790001	8800000	60	135
8800001	8810000	0	0
8810001	8820000	19	28
8820001	8830000	69	181
8830001	8840000	64	133
8840001	8850000	64	146
8850001	8860000	59	162
8860001	8870000	43	123
8870001	8880000	51	144
8880001	8890000	72	168
8890001	8900000	45	126
8900001	8910000	51	150
8910001	8920000	56	163
8920001	8930000	73	195
8930001	8940000	59	193
8940001	8950000	68	140
8950001	8960000	77	176
8960001	8970000	48	141
8970001	8980000	80	165
8980001	8990000	69	172
8990001	9000000	78	195
9000001	9010000	55	175
9010001	9020000	63	168
9020001	9030000	78	195
9030001	9040000	84	226
9040001	9050000	103	230
9050001	9060000	68	177
9060001	9070000	113	216
9070001	9080000	73	202
9080001	9090000	66	172
9090001	9100000	64	184
9100001	9110000	75	196
9110001	9120000	77	197
9120001	9130000	91	180
9130001	9140000	87	208
9140001	9150000	56	157
9150001	9160000	53	142
9160001	9170000	21	40
9170001	9180000	27	70
9180001	9190000	27	54
9190001	9200000	27	68
9200001	9210000	35	78
9210001	9220000	151	363
9220001	9230000	178	465
9230001	9240000	192	512
9240001	9250000	211	478
9250001	9260000	199	562
9260001	9270000	199	489
9270001	9280000	105	275
9280001	9290000	0	0
9290001	9300000	0	0
9300001	9310000	0	0
9310001	9320000	0	0
9320001	9330000	109	283
9330001	9340000	207	519
9340001	9350000	193	489
9350001	9360000	208	420
9360001	9370000	208	492
9370001	9380000	98	183
9380001	9390000	78	158
9390001	9400000	84	166
9400001	9410000	71	197
9410001	9420000	100	154
9420001	9430000	78	182
9430001	9440000	72	177
9440001	9450000	80	178
9450001	9460000	72	136
9460001	9470000	34	112
9470001	9480000	22	76
9480001	9490000	61	144
9490001	9500000	58	127
9500001	9510000	63	153
9510001	9520000	77	181
9520001	9530000	69	154
9530001	9540000	57	161
9540001	9550000	65	174
9550001	9560000	61	174
9560001	9570000	82	201
9570001	9580000	79	189
9580001	9590000	84	202
9590001	9600000	55	181
9600001	9610000	55	169
9610001	9620000	55	155
9620001	9630000	90	173
9630001	9640000	69	178
9640001	9650000	57	163
9650001	9660000	83	171
9660001	9670000	76	199
9670001	9680000	75	191
9680001	9690000	74	134
9690001	9700000	65	165
9700001	9710000	60	142
9710001	9720000	68	175
9720001	9730000	85	179
9730001	9740000	50	168
9740001	9750000	69	171
9750001	9760000	53	156
9760001	9770000	81	205
9770001	9780000	80	204
9780001	9790000	76	169
9790001	9800000	84	232
9800001	9810000	75	166
9810001	9820000	81	180
9820001	9830000	65	195
9830001	9840000	83	166
9840001	9850000	78	185
9850001	9860000	56	181
9860001	9870000	69	199
9870001	9880000	98	202
9880001	9890000	79	179
9890001	9900000	71	203
9900001	9910000	62	185
9910001	9920000	79	190
9920001	9930000	65	155
9930001	9940000	63	207
9940001	9950000	63	159
9950001	9960000	66	166
9960001	9970000	68	196
9970001	9980000	58	174
9980001	9990000	62	186
9990001	10000000	80	164
10000001	10010000	67	195
10010001	10020000	74	165
10020001	10030000	59	160
10030001	10040000	60	150
10040001	10050000	63	156
10050001	10060000	63	173
10060001	10070000	67	177
10070001	10080000	57	172
10080001	10090000	68	153
10090001	10100000	63	153
10100001	10110000	58	152
10110001	10120000	68	147
10120001	10130000	64	191
10130001	10140000	68	163
10140001	10150000	63	184
10150001	10160000	80	185
10160001	10170000	64	194
10170001	10180000	61	171
10180001	10190000	84	191
10190001	10200000	80	198
10200001	10210000	61	140
10210001	10220000	9	32
10220001	10230000	0	0
10230001	10240000	40	100
10240001	10250000	80	204
10250001	10260000	65	189
10260001	10270000	98	180
10270001	10280000	78	205
10280001	10290000	75	199
10290001	10300000	87	177
10300001	10310000	62	191
10310001	10320000	69	191
10320001	10330000	74	162
10330001	10340000	66	187
10340001	10350000	72	177
10350001	10360000	86	169
10360001	10370000	89	187
10370001	10380000	76	196
10380001	10390000	87	191
10390001	10400000	79	189
10400001	10410000	81	168
10410001	10420000	72	173
10420001	10430000	80	200
10430001	10440000	58	187
10440001	10450000	58	159
10450001	10460000	70	189
10460001	10470000	75	169
10470001	10480000	66	184
10480001	10490000	72	185
10490001	10500000	67	163
10500001	10510000	71	150
10510001	10520000	76	164
10520001	10530000	68	172
10530001	10540000	62	190
10540001	10550000	58	201
10550001	10560000	86	180
10560001	10570000	79	184
